exp,event,branch,pipeline
2.69,0,first,cs
0.49,1,first,js
1.12,1,first,js
1.41,1,first,js
1.68,1,first,js
2.04,1,first,js
0.66,1,first,ref
2.33,1,first,ea
2.63,0,first,js
2.63,0,first,js
2.63,0,first,js
2.63,0,first,js
2.63,0,first,js
0.43,1,first,js
1.81,1,first,js
1.84,1,first,js
2.30,1,first,ref
2.53,0,first,js
2.27,0,first,js
2.23,0,first,ref
0.89,1,first,js
2.20,0,first,js
2.20,0,first,js
0.39,1,first,js
0.66,1,first,js
2.07,0,first,ref
2.07,0,first,js
2.07,0,first,js
2.07,0,first,js
2.07,0,first,ref
2.07,0,first,js
1.25,1,first,js
1.25,1,first,ref
2.04,0,first,js
2.04,0,first,js
1.94,1,first,js
1.97,0,first,ref
1.97,0,first,js
1.97,0,first,js
1.15,1,first,js
1.94,0,first,ref
1.94,0,first,js
1.25,1,first,js
1.48,1,first,js
1.81,0,first,js
1.02,1,first,js
1.77,0,first,js
1.77,0,first,ref
1.71,0,first,ref
1.71,0,first,js
1.71,0,first,ref
1.71,0,first,cs
0.89,1,first,js
0.99,1,first,js
1.31,1,first,ref
1.68,0,first,ref
1.68,0,first,js
1.68,0,first,js
1.68,0,first,js
0.53,1,first,js
0.89,1,first,js
1.02,1,first,js
0.33,1,first,js
1.54,0,first,js
1.54,0,first,js
1.54,0,first,js
0.30,1,first,js
1.15,1,first,js
0.53,1,first,ref
0.26,1,first,js
0.43,1,first,js
1.12,0,first,js
0.49,1,first,js
1.08,0,first,ref
0.26,1,first,js
1.05,0,first,js
1.02,0,first,js
0.85,0,first,js
0.85,0,first,js
0.79,0,first,js
0.79,0,first,ref
0.56,1,first,js
0.66,0,first,js
0.59,0,first,js
0.59,0,first,cs
0.59,0,first,js
0.59,0,first,js
0.56,0,first,js
0.39,0,first,js
0.39,0,first,js
0.39,0,first,ea
0.39,0,first,js
5.65,1,second,js
4.73,1,second,ref
13.54,1,second,js
8.11,1,second,js
1.02,1,second,js
2.96,1,second,js
10.81,1,second,js
7.75,1,second,js
11.01,1,second,cs
0.76,1,second,ref
0.99,1,second,js
1.74,1,second,js
2.53,1,second,js
2.76,1,second,js
1.28,1,second,js
12.02,1,second,js
0.92,1,second,js
3.32,1,second,js
4.24,1,second,js
6.93,1,second,cs
2.50,1,second,js
4.83,1,second,js
5.52,1,second,js
1.77,1,second,js
1.15,1,second,js
12.32,0,second,js
12.32,0,second,js
2.69,1,second,js
10.09,1,second,js
12.09,0,second,js
3.45,1,second,js
11.50,0,second,js
1.84,1,second,js
11.01,0,second,js
1.02,1,second,js
10.35,0,second,cs
0.92,1,second,js
10.05,0,second,ref
1.15,1,second,js
3.35,1,second,cs
5.49,1,second,js
9.53,0,second,ref
1.97,1,second,js
2.14,1,second,js
0.33,1,second,js
9.36,0,second,sm
0.62,1,second,js
1.12,1,second,cs
3.98,1,second,js
4.07,1,second,js
5.06,1,second,js
7.20,1,second,js
9.00,1,second,cs
9.13,0,second,js
9.13,0,second,js
2.56,1,second,js
3.45,1,second,sm
9.10,0,second,js
0.26,1,second,js
0.69,1,second,js
2.66,1,second,sm
2.96,1,second,js
4.83,1,second,js
1.38,1,second,js
2.04,1,second,js
3.42,1,second,js
5.13,1,second,js
7.10,1,second,js
1.84,1,second,js
2.07,1,second,js
3.25,1,second,js
3.58,1,second,ref
0.92,1,second,js
5.13,1,second,js
8.67,0,second,sm
3.06,1,second,js
3.06,1,second,js
3.25,1,second,js
4.83,1,second,js
5.03,1,second,js
5.75,1,second,js
6.01,1,second,ref
7.82,1,second,js
8.05,1,second,js
2.66,1,second,cs
8.51,0,second,js
8.44,0,second,sm
8.44,0,second,js
8.44,0,second,ref
8.44,0,second,ref
8.44,0,second,ea
8.44,0,second,js
8.44,0,second,ref
8.44,0,second,cs
8.44,0,second,js
0.26,1,second,js
1.22,1,second,js
3.38,1,second,js
8.25,1,second,js
2.40,1,second,js
7.13,1,second,ref
5.65,1,second,js
8.21,0,second,js
8.21,0,second,js
1.12,1,second,js
1.64,1,second,js
2.60,1,second,js
3.29,1,second,ref
4.34,1,second,js
8.02,1,second,js
8.15,0,second,js
8.15,0,second,js
1.35,1,second,js
3.32,1,second,js
3.42,1,second,sm
8.02,0,second,js
7.98,0,second,js
7.98,0,second,js
7.98,0,second,js
7.98,0,second,js
7.98,0,second,js
7.98,0,second,ref
7.98,0,second,js
0.85,1,second,js
1.12,1,second,cs
1.12,1,second,cs
1.38,1,second,js
1.41,1,second,js
2.14,1,second,js
2.14,1,second,ref
2.30,1,second,sm
4.80,1,second,js
7.95,0,second,sm
2.04,1,second,js
7.92,0,second,js
7.92,0,second,cs
0.79,1,second,js
2.23,1,second,sm
2.86,1,second,js
4.34,1,second,js
5.29,1,second,js
7.75,0,second,js
7.75,0,second,sm
7.75,0,second,js
7.75,0,second,js
7.75,0,second,js
0.76,1,second,sm
2.60,1,second,js
2.76,1,second,ref
3.91,1,second,js
4.80,1,second,js
4.80,1,second,js
4.99,1,second,sm
4.99,1,second,js
4.99,1,second,js
5.03,1,second,sm
5.09,1,second,ref
5.45,1,second,js
7.10,1,second,js
7.20,1,second,js
7.72,0,second,ref
7.72,0,second,js
7.72,0,second,js
7.72,0,second,sm
0.72,1,second,js
1.51,1,second,js
1.54,1,second,js
1.54,1,second,cs
7.69,0,second,js
7.69,0,second,js
7.69,0,second,js
7.69,0,second,sm
7.69,0,second,js
1.38,1,second,js
1.74,1,second,js
2.40,1,second,ref
2.92,1,second,js
3.38,1,second,sm
3.42,1,second,js
4.04,1,second,sm
4.96,1,second,js
5.03,1,second,js
6.67,1,second,sm
0.95,1,second,js
2.04,1,second,js
7.52,0,second,sm
0.95,1,second,js
1.08,1,second,js
1.12,1,second,sm
1.12,1,second,js
1.38,1,second,js
1.81,1,second,js
1.84,1,second,js
7.49,0,second,sm
7.49,0,second,js
1.38,1,second,ref
1.87,1,second,js
3.65,1,second,js
3.94,1,second,js
6.87,1,second,sm
7.36,0,second,ref
7.36,0,second,ref
4.44,1,second,sm
5.29,1,second,js
5.98,1,second,sm
7.29,0,second,js
7.29,0,second,js
7.29,0,second,js
7.29,0,second,ref
0.69,1,second,ref
0.92,1,second,js
1.35,1,second,js
1.41,1,second,ref
1.81,1,second,sm
2.99,1,second,js
3.52,1,second,js
5.09,1,second,js
5.13,1,second,js
3.61,1,second,ref
4.60,1,second,js
7.10,0,second,js
7.10,0,second,js
7.10,0,second,js
7.10,0,second,js
7.10,0,second,js
5.95,1,second,js
7.06,0,second,sm
7.06,0,second,sm
7.06,0,second,ref
7.06,0,second,js
7.06,0,second,js
7.06,0,second,sm
7.06,0,second,js
7.06,0,second,ref
1.12,1,second,js
1.18,1,second,js
1.54,1,second,ref
2.73,1,second,js
2.73,1,second,js
3.52,1,second,sm
4.14,1,second,js
6.44,1,second,sm
7.03,0,second,js
6.44,1,second,js
6.90,0,second,js
6.90,0,second,js
0.72,1,second,js
3.98,1,second,js
6.87,0,second,js
6.87,0,second,js
0.56,1,second,js
0.66,1,second,ref
1.25,1,second,cs
1.25,1,second,js
2.10,1,second,cs
2.10,1,second,sm
3.06,1,second,js
4.57,1,second,js
6.83,0,second,js
6.83,0,second,sm
6.83,0,second,js
6.83,0,second,js
6.83,0,second,js
0.69,1,second,js
0.92,1,second,ref
6.67,0,second,js
6.67,0,second,ref
3.91,1,second,js
6.64,0,second,js
6.64,0,second,js
6.64,0,second,js
1.12,1,second,ref
1.48,1,second,js
1.68,1,second,js
3.48,1,second,js
3.48,1,second,js
3.71,1,second,js
4.37,1,second,js
5.98,1,second,js
0.89,1,second,js
6.44,0,second,js
6.44,0,second,js
6.41,0,second,js
3.06,1,second,js
6.37,0,second,js
6.37,0,second,ref
6.37,0,second,js
6.37,0,second,js
6.37,0,second,ref
6.34,0,second,js
6.34,0,second,ref
4.86,1,second,js
4.96,1,second,ref
6.14,0,second,js
6.14,0,second,ref
0.85,1,second,ref
6.11,0,second,js
6.11,0,second,js
0.72,1,second,ref
0.82,1,second,js
0.82,1,second,js
1.74,1,second,sm
2.04,1,second,js
2.46,1,second,js
2.89,1,second,js
4.50,1,second,sm
6.08,0,second,js
3.35,1,second,js
3.35,1,second,js
5.98,0,second,js
2.53,1,second,js
4.37,1,second,js
5.42,1,second,js
5.82,1,second,ref
5.95,0,second,js
2.14,1,second,js
3.29,1,second,ref
3.88,1,second,js
4.17,1,second,js
5.91,0,second,js
5.91,0,second,ref
1.18,1,second,js
1.54,1,second,ref
1.54,1,second,js
2.83,1,second,js
5.29,1,second,ref
0.62,1,second,js
0.66,1,second,ref
2.86,1,second,js
5.68,0,second,js
5.65,0,second,cs
5.65,0,second,js
5.65,0,second,js
0.82,1,second,ref
2.46,1,second,js
2.53,1,second,js
2.89,1,second,js
5.62,0,second,js
1.81,1,second,sm
5.59,0,second,js
0.59,1,second,js
5.45,0,second,js
5.45,0,second,ref
5.45,0,second,js
5.45,0,second,js
0.49,1,second,js
4.21,1,second,js
2.76,1,second,js
2.89,1,second,js
1.05,1,second,js
2.33,1,second,js
5.26,0,second,js
5.22,0,second,js
0.20,1,second,ref
0.89,1,second,ref
2.99,1,second,js
3.65,1,second,js
4.57,1,second,js
0.85,1,second,cs
0.85,1,second,js
2.00,1,second,ref
2.89,1,second,js
3.81,1,second,js
2.43,1,second,ref
4.99,0,second,js
4.99,0,second,js
4.99,0,second,js
4.99,0,second,js
1.35,1,second,js
4.96,0,second,js
4.96,0,second,js
0.72,1,second,ref
2.43,1,second,js
4.63,1,second,js
4.60,1,second,js
0.66,1,second,js
2.46,1,second,js
4.86,0,second,js
2.33,1,second,js
4.80,0,second,js
4.80,0,second,js
4.80,0,second,js
3.19,1,second,ref
1.18,1,second,js
3.42,1,second,js
4.67,0,second,js
1.05,1,second,js
4.60,0,second,js
4.60,0,second,js
4.60,0,second,js
1.68,1,second,js
4.57,0,second,js
1.35,1,second,js
2.63,1,second,js
4.53,0,second,js
0.85,1,second,js
0.89,1,second,js
4.07,1,second,js
0.99,1,second,js
0.49,1,second,js
3.02,1,second,js
4.07,0,second,js
3.91,0,second,js
0.56,1,second,js
3.88,0,second,js
3.88,0,second,ref
3.88,0,second,cs
3.88,0,second,js
3.88,0,second,js
3.88,0,second,js
2.07,1,second,js
2.17,1,second,js
2.30,1,second,js
3.22,1,second,js
0.53,1,second,js
2.33,1,second,js
2.33,1,second,js
3.81,0,second,js
3.81,0,second,ref
3.81,0,second,js
2.20,1,second,ref
2.69,1,second,ref
3.15,1,second,js
1.77,1,second,js
3.68,0,second,js
3.68,0,second,cs
1.48,1,second,ref
1.74,1,second,sm
1.84,1,second,ref
1.84,1,second,ref
1.91,1,second,js
2.30,1,second,js
2.60,1,second,ref
3.65,0,second,ref
1.25,1,second,js
3.32,1,second,js
3.61,0,second,js
3.61,0,second,js
3.61,0,second,js
3.61,0,second,js
3.61,0,second,js
0.85,1,second,js
1.77,1,second,js
2.00,1,second,js
2.50,1,second,ref
3.58,0,second,js
0.85,1,second,js
2.07,1,second,js
2.76,1,second,ref
3.52,0,second,js
3.45,0,second,js
3.45,0,second,ref
3.45,0,second,js
3.45,0,second,js
3.45,0,second,js
1.25,1,second,ref
1.97,1,second,ref
2.33,1,second,ref
2.79,1,second,js
2.83,1,second,js
3.38,0,second,js
3.38,0,second,js
3.38,0,second,js
1.54,1,second,js
3.22,1,second,js
3.35,0,second,js
3.35,0,second,js
1.08,1,second,ref
2.69,1,second,js
3.32,0,second,js
3.32,0,second,js
0.23,1,second,js
1.51,1,second,js
2.66,1,second,js
3.22,0,second,sm
3.22,0,second,sm
3.22,0,second,ref
3.22,0,second,js
0.79,1,second,js
2.07,1,second,js
2.07,1,second,ref
3.19,0,second,js
3.19,0,second,ref
3.19,0,second,js
3.19,0,second,js
1.48,1,second,sm
1.61,1,second,js
1.87,1,second,cs
2.53,1,second,js
2.56,1,second,js
3.15,0,second,js
3.15,0,second,ref
3.15,0,second,cs
3.15,0,second,js
1.38,1,second,js
1.38,1,second,js
2.10,1,second,js
2.27,1,second,js
2.33,1,second,js
2.60,1,second,js
2.99,1,second,ref
3.12,0,second,js
1.35,1,second,js
2.92,0,second,js
2.92,0,second,js
2.92,0,second,js
2.92,0,second,js
2.92,0,second,ref
2.92,0,second,js
0.26,1,second,js
1.81,1,second,js
2.89,0,second,ref
0.26,1,second,js
2.76,0,second,js
0.46,1,second,js
0.76,1,second,js
2.37,1,second,ref
2.37,1,second,ref
2.66,0,second,js
2.66,0,second,ref
2.66,0,second,js
2.66,0,second,js
2.66,0,second,ref
2.43,1,second,js
2.63,0,second,ref
2.53,0,second,sm
2.53,0,second,ref
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
2.53,0,second,js
1.05,1,second,ref
1.38,1,second,js
1.38,1,second,js
1.38,1,second,js
1.38,1,second,ref
1.38,1,second,js
1.48,1,second,js
1.51,1,second,js
1.74,1,second,js
1.87,1,second,js
1.91,1,second,js
2.43,1,second,js
1.02,1,second,js
0.79,1,second,js
1.87,1,second,js
2.20,0,second,js
2.20,0,second,js
2.20,0,second,js
2.20,0,second,ref
2.20,0,second,js
2.20,0,second,js
2.20,0,second,js
2.20,0,second,cs
2.20,0,second,cs
0.85,1,second,js
2.17,0,second,js
0.59,1,second,js
2.07,0,second,js
2.07,0,second,ref
2.07,0,second,ref
0.72,1,second,js
0.95,1,second,js
1.41,1,second,js
1.68,1,second,js
2.04,0,second,js
0.72,1,second,js
1.91,1,second,js
0.72,1,second,js
1.41,1,second,js
1.97,0,second,ref
0.49,1,second,js
0.82,1,second,js
1.05,1,second,js
1.87,1,second,js
1.94,0,second,js
1.84,0,second,ref
1.84,0,second,ref
0.72,1,second,ref
1.18,1,second,js
1.68,1,second,ref
1.77,0,second,js
1.77,0,second,js
1.77,0,second,js
1.77,0,second,js
1.77,0,second,js
0.62,1,second,js
0.69,1,second,js
1.12,1,second,ref
1.22,1,second,js
1.45,1,second,js
1.68,1,second,js
1.74,0,second,js
1.74,0,second,js
1.74,0,second,js
1.74,0,second,ref
0.39,1,second,js
1.41,1,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,ref
1.71,0,second,js
1.71,0,second,js
1.71,0,second,ref
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.71,0,second,js
1.05,1,second,js
1.61,1,second,js
1.61,0,second,cs
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
1.61,0,second,ref
1.61,0,second,js
1.61,0,second,js
1.61,0,second,js
0.36,1,second,js
0.49,1,second,js
0.95,1,second,js
1.38,1,second,js
1.58,0,second,js
1.58,0,second,js
1.58,0,second,js
1.58,0,second,ref
1.58,0,second,ref
1.58,0,second,ref
1.58,0,second,js
1.58,0,second,js
0.92,1,second,js
0.92,1,second,js
1.02,1,second,ref
1.54,0,second,js
1.51,0,second,js
